file,name,tokens,mapped_tokens,events,sequence,unknown_tokens
FS-Jump3D__json__Skater_A__Axel__Axel_1_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_1,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_10_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_10,FORWARD_TAKEOFF OUTSIDE_EDGE NO_TOE_PICK LAND_DIFF,"[""forward jump"", ""takeoff edge out"", ""toe_pick no"", ""land diff""]",e1 e3 e6 e8,"[""e1"", ""e3"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_2_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_2,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_3_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_3,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_4_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_4,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_5_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_5,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_6_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_6,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_7_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_7,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_8_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_8,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Axel__Axel_9_event_sequence.json,FS-Jump3D__json__Skater_A__Axel__Axel_9,OUTSIDE_EDGE FORWARD_TAKEOFF NO_TOE_PICK LAND_DIFF,"[""takeoff edge out"", ""forward jump"", ""toe_pick no"", ""land diff""]",e3 e1 e6 e8,"[""e3"", ""e1"", ""e6"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_1_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_1,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_10_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_10,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_2_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_2,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_3_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_3,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land same""]",e4 e2 e5 e7,"[""e4"", ""e2"", ""e5"", ""e7""]",
FS-Jump3D__json__Skater_A__Flip__Flip_4_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_4,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
